title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Baseline,1.0,682.991
Time Error,Progress (steps),Error (s),Baseline,2.0,417.128
Time Error,Progress (steps),Error (s),Baseline,3.0,121.12643999999996
Time Error,Progress (steps),Error (s),Baseline,4.0,121.3345
Time Error,Progress (steps),Error (s),Baseline,5.0,178.07899999999995
Time Error,Progress (steps),Error (s),Baseline,6.0,135.85424000000114
Time Error,Progress (steps),Error (s),Baseline,7.0,195.11496400000007
Time Error,Progress (steps),Error (s),Baseline,8.0,194.35825
Time Error,Progress (steps),Error (s),Baseline,9.0,151.10942100000005
Time Error,Progress (steps),Error (s),Baseline,10.0,234.57699999999994
Time Error,Progress (steps),Error (s),Baseline,11.0,238.2174849999997
Time Error,Progress (steps),Error (s),Baseline,12.0,294.75976400000064
Time Error,Progress (steps),Error (s),Baseline,13.0,275.94329700000105
Time Error,Progress (steps),Error (s),Baseline,14.0,351.24690800000235
Time Error,Progress (steps),Error (s),Baseline,15.0,213.9541822916667
Time Error,Progress (steps),Error (s),Baseline,17.0,181.03381249999993
Time Error,Progress (steps),Error (s),Baseline,16.0,249.97822916666644
Time Error,Progress (steps),Error (s),Baseline,19.0,109.80650520833329
Time Error,Progress (steps),Error (s),Baseline,18.0,119.01745833333325
Time Error,Progress (steps),Error (s),Baseline,21.0,55.7313541666667
Time Error,Progress (steps),Error (s),Baseline,20.0,86.10989583333333
Time Error,Progress (steps),Error (s),Baseline,23.0,38.36783854166671
Time Error,Progress (steps),Error (s),Baseline,22.0,41.5246875
Time Error,Progress (steps),Error (s),Baseline,25.0,44.84708333333335
Time Error,Progress (steps),Error (s),Baseline,24.0,57.31528124999995
Time Confidence,Confidence,Probability correct,Baseline,0.0,0.0
Time Confidence,Confidence,Probability correct,Baseline,0.1,0.5293333333333333
Time Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.9,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.7,0.5520833333333334
Time Confidence,Confidence,Probability correct,Baseline,0.6,0.04513888888888889
Time Confidence,Confidence,Probability correct,Baseline,0.5,0.0013686131386861315
Time Confidence,Confidence,Probability correct,Baseline,0.4,0.0
Time Confidence,Confidence,Probability correct,Baseline,0.2,0.275
Time Confidence,Confidence,Probability correct,Baseline,0.3,0.116
Steps Error,Progress (steps),Error (steps),Baseline,1.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,2.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,3.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,4.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,5.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,6.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,7.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,8.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,9.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,10.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,11.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,12.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,13.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,14.0,8.888
Steps Error,Progress (steps),Error (steps),Baseline,15.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,17.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,16.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,19.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,18.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,21.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,20.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,23.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,22.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,25.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,24.0,0.0
Steps Confidence,Confidence,Probability correct,Baseline,0.0,0.192
Steps Confidence,Confidence,Probability correct,Baseline,0.1,0.192
Steps Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.9,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.7,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.6,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.5,0.26277372262773724
Steps Confidence,Confidence,Probability correct,Baseline,0.4,0.192
Steps Confidence,Confidence,Probability correct,Baseline,0.2,0.192
Steps Confidence,Confidence,Probability correct,Baseline,0.3,0.192
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],1.0,123.73151900000211
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],2.0,106.12465100000132
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],3.0,104.69127599999901
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],4.0,116.05630799999874
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],5.0,151.54403099999828
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],6.0,189.7994999999962
Time Error,Progress (steps),Error (s),Neural Network [5|18|8],7.0,137.43549999999706
