title,xlabel,ylabel,linename,xvalue,yvalue
Time Error,Progress (steps),Error (s),Baseline,1.0,688.797
Time Error,Progress (steps),Error (s),Baseline,2.0,181.294
Time Error,Progress (steps),Error (s),Baseline,3.0,157.8774699999994
Time Error,Progress (steps),Error (s),Baseline,4.0,183.4845
Time Error,Progress (steps),Error (s),Baseline,5.0,181.4942000000002
Time Error,Progress (steps),Error (s),Baseline,6.0,218.08458000000152
Time Error,Progress (steps),Error (s),Baseline,7.0,245.6821570000001
Time Error,Progress (steps),Error (s),Baseline,8.0,268.6215
Time Error,Progress (steps),Error (s),Baseline,9.0,312.67203799999885
Time Error,Progress (steps),Error (s),Baseline,10.0,324.2810000000004
Time Error,Progress (steps),Error (s),Baseline,11.0,320.384015
Time Error,Progress (steps),Error (s),Baseline,12.0,259.56046000000015
Time Error,Progress (steps),Error (s),Baseline,13.0,319.9977030000011
Time Error,Progress (steps),Error (s),Baseline,14.0,376.0498280000018
Time Error,Progress (steps),Error (s),Baseline,15.0,18.306322274881538
Time Error,Progress (steps),Error (s),Baseline,17.0,15.555890995260658
Time Error,Progress (steps),Error (s),Baseline,16.0,51.820284360189504
Time Error,Progress (steps),Error (s),Baseline,19.0,12.483516587677732
Time Error,Progress (steps),Error (s),Baseline,18.0,33.26661611374411
Time Error,Progress (steps),Error (s),Baseline,21.0,41.03876777251184
Time Error,Progress (steps),Error (s),Baseline,20.0,10.755924170616115
Time Error,Progress (steps),Error (s),Baseline,23.0,29.078075829383888
Time Error,Progress (steps),Error (s),Baseline,22.0,33.50388625592419
Time Error,Progress (steps),Error (s),Baseline,25.0,2.764549763033177
Time Error,Progress (steps),Error (s),Baseline,24.0,26.12530805687208
Time Confidence,Confidence,Probability correct,Baseline,0.0,0.123
Time Confidence,Confidence,Probability correct,Baseline,0.1,0.34
Time Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.9,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.7,1.0
Time Confidence,Confidence,Probability correct,Baseline,0.6,0.9984202211690363
Time Confidence,Confidence,Probability correct,Baseline,0.5,0.2541836273179557
Time Confidence,Confidence,Probability correct,Baseline,0.4,0.1205
Time Confidence,Confidence,Probability correct,Baseline,0.2,0.002
Time Confidence,Confidence,Probability correct,Baseline,0.3,0.022333333333333334
Steps Error,Progress (steps),Error (steps),Baseline,1.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,2.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,3.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,4.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,5.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,6.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,7.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,8.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,9.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,10.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,11.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,12.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,13.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,14.0,8.679
Steps Error,Progress (steps),Error (steps),Baseline,15.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,17.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,16.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,19.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,18.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,21.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,20.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,23.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,22.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,25.0,0.0
Steps Error,Progress (steps),Error (steps),Baseline,24.0,0.0
Steps Confidence,Confidence,Probability correct,Baseline,0.0,0.211
Steps Confidence,Confidence,Probability correct,Baseline,0.1,0.211
Steps Confidence,Confidence,Probability correct,Baseline,0.8,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.9,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.7,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.6,1.0
Steps Confidence,Confidence,Probability correct,Baseline,0.5,0.2862957937584803
Steps Confidence,Confidence,Probability correct,Baseline,0.4,0.211
Steps Confidence,Confidence,Probability correct,Baseline,0.2,0.211
Steps Confidence,Confidence,Probability correct,Baseline,0.3,0.211
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],1.0,118.9548530000007
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],2.0,135.35628899999864
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],3.0,139.75828899999857
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],4.0,164.27763600000208
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],5.0,137.48955000000214
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],6.0,116.69505599999992
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],7.0,136.27728899999866
Time Error,Progress (steps),Error (s),Neural Network [7|20|10],8.0,170.8107760000014
